model_key,dataset_key,cot_mode,cot_accuracy,sc_accuracy,absolute_gain
qwen2_5_0_5b_instruct,csqa,zero_shot,0.33,0.43,0.1
qwen2_5_0_5b_instruct,csqa,few_shot,0.47,0.43,-0.04
qwen2_5_0_5b_instruct,gsm8k,zero_shot,0.28,0.2,-0.08
qwen2_5_0_5b_instruct,gsm8k,few_shot,0.1,0.2,0.1
qwen2_5_0_5b_instruct,mmlu,zero_shot,0.31,0.33,0.02
qwen2_5_0_5b_instruct,mmlu,few_shot,0.23,0.33,0.1
qwen2_5_1_5b_instruct,csqa,zero_shot,0.6,0.67,0.07
qwen2_5_1_5b_instruct,csqa,few_shot,0.66,0.67,0.01
qwen2_5_1_5b_instruct,gsm8k,zero_shot,0.56,0.67,0.11
qwen2_5_1_5b_instruct,gsm8k,few_shot,0.66,0.67,0.01
qwen2_5_1_5b_instruct,mmlu,zero_shot,0.41,0.5,0.09
qwen2_5_1_5b_instruct,mmlu,few_shot,0.54,0.5,-0.04
tinyllama_1_1b_chat,csqa,zero_shot,0.2,0.27,0.07
tinyllama_1_1b_chat,csqa,few_shot,0.24,0.27,0.03
tinyllama_1_1b_chat,gsm8k,zero_shot,0.03,0.01,-0.02
tinyllama_1_1b_chat,gsm8k,few_shot,0.02,0.01,-0.01
tinyllama_1_1b_chat,mmlu,zero_shot,0.11,0.09,-0.02
tinyllama_1_1b_chat,mmlu,few_shot,0.16,0.09,-0.07
