model_key,dataset_key,component_setting,method,num_paths_used,sample_count,correct_count,accuracy,absolute_gain_vs_original_sc,valid_vote_rate,vote_changed_rate,mean_majority_share
qwen2_5_0_5b_instruct,csqa,original_sc,original_sc,3,100,43,0.43,0.0,1.0,0.0,0.756667
qwen2_5_0_5b_instruct,csqa,normalized_vote,normalized_vote,3,100,43,0.43,0.0,1.0,0.0,0.756667
qwen2_5_0_5b_instruct,csqa,filtered_vote,filtered_vote,3,100,43,0.43,0.0,1.0,0.0,0.756667
qwen2_5_0_5b_instruct,csqa,normalized_filtered_vote,normalized_filtered_vote,3,100,43,0.43,0.0,1.0,0.0,0.756667
qwen2_5_0_5b_instruct,gsm8k,original_sc,original_sc,3,100,20,0.2,0.0,1.0,0.0,0.383333
qwen2_5_0_5b_instruct,gsm8k,normalized_vote,normalized_vote,3,100,45,0.45,0.25,1.0,0.64,0.556667
qwen2_5_0_5b_instruct,gsm8k,filtered_vote,filtered_vote,3,100,27,0.27,0.07,0.76,0.58,0.303333
qwen2_5_0_5b_instruct,gsm8k,normalized_filtered_vote,normalized_filtered_vote,3,100,45,0.45,0.25,1.0,0.64,0.556667
qwen2_5_0_5b_instruct,mmlu,original_sc,original_sc,3,100,33,0.33,0.0,1.0,0.0,0.543333
qwen2_5_0_5b_instruct,mmlu,normalized_vote,normalized_vote,3,100,35,0.35,0.02,1.0,0.18,0.583333
qwen2_5_0_5b_instruct,mmlu,filtered_vote,filtered_vote,3,100,36,0.36,0.03,0.97,0.17,0.533333
qwen2_5_0_5b_instruct,mmlu,normalized_filtered_vote,normalized_filtered_vote,3,100,35,0.35,0.02,0.98,0.17,0.55
qwen2_5_1_5b_instruct,csqa,original_sc,original_sc,3,100,67,0.67,0.0,1.0,0.0,0.94
qwen2_5_1_5b_instruct,csqa,normalized_vote,normalized_vote,3,100,67,0.67,0.0,1.0,0.0,0.94
qwen2_5_1_5b_instruct,csqa,filtered_vote,filtered_vote,3,100,67,0.67,0.0,1.0,0.0,0.94
qwen2_5_1_5b_instruct,csqa,normalized_filtered_vote,normalized_filtered_vote,3,100,67,0.67,0.0,1.0,0.0,0.94
qwen2_5_1_5b_instruct,gsm8k,original_sc,original_sc,3,100,67,0.67,0.0,1.0,0.0,0.693333
qwen2_5_1_5b_instruct,gsm8k,normalized_vote,normalized_vote,3,100,69,0.69,0.02,1.0,0.03,0.716667
qwen2_5_1_5b_instruct,gsm8k,filtered_vote,filtered_vote,3,100,67,0.67,0.0,1.0,0.0,0.693333
qwen2_5_1_5b_instruct,gsm8k,normalized_filtered_vote,normalized_filtered_vote,3,100,69,0.69,0.02,1.0,0.03,0.716667
qwen2_5_1_5b_instruct,mmlu,original_sc,original_sc,3,100,50,0.5,0.0,1.0,0.0,0.79
qwen2_5_1_5b_instruct,mmlu,normalized_vote,normalized_vote,3,100,50,0.5,0.0,1.0,0.02,0.796667
qwen2_5_1_5b_instruct,mmlu,filtered_vote,filtered_vote,3,100,50,0.5,0.0,0.99,0.02,0.786667
qwen2_5_1_5b_instruct,mmlu,normalized_filtered_vote,normalized_filtered_vote,3,100,50,0.5,0.0,0.99,0.02,0.786667
tinyllama_1_1b_chat,csqa,original_sc,original_sc,3,100,27,0.27,0.0,1.0,0.0,0.616667
tinyllama_1_1b_chat,csqa,normalized_vote,normalized_vote,3,100,26,0.26,-0.01,1.0,0.09,0.643333
tinyllama_1_1b_chat,csqa,filtered_vote,filtered_vote,3,100,29,0.29,0.02,1.0,0.08,0.616667
tinyllama_1_1b_chat,csqa,normalized_filtered_vote,normalized_filtered_vote,3,100,29,0.29,0.02,1.0,0.08,0.636667
tinyllama_1_1b_chat,gsm8k,original_sc,original_sc,3,100,1,0.01,0.0,1.0,0.0,0.356667
tinyllama_1_1b_chat,gsm8k,normalized_vote,normalized_vote,3,100,4,0.04,0.03,1.0,0.32,0.386667
tinyllama_1_1b_chat,gsm8k,filtered_vote,filtered_vote,3,100,3,0.03,0.02,0.95,0.28,0.34
tinyllama_1_1b_chat,gsm8k,normalized_filtered_vote,normalized_filtered_vote,3,100,5,0.05,0.04,1.0,0.32,0.386667
tinyllama_1_1b_chat,mmlu,original_sc,original_sc,3,100,9,0.09,0.0,1.0,0.0,0.406667
tinyllama_1_1b_chat,mmlu,normalized_vote,normalized_vote,3,100,14,0.14,0.05,1.0,0.51,0.556667
tinyllama_1_1b_chat,mmlu,filtered_vote,filtered_vote,3,100,22,0.22,0.13,0.92,0.44,0.38
tinyllama_1_1b_chat,mmlu,normalized_filtered_vote,normalized_filtered_vote,3,100,23,0.23,0.14,0.97,0.46,0.443333
