model_key,dataset_key,method,majority_bucket,sample_count,correct_count,accuracy
qwen2_5_0_5b_instruct,csqa,normalized_filtered_vote,one_third,13,1,0.076923
qwen2_5_0_5b_instruct,csqa,normalized_filtered_vote,two_thirds,47,17,0.361702
qwen2_5_0_5b_instruct,csqa,normalized_filtered_vote,unanimous,40,25,0.625
qwen2_5_0_5b_instruct,csqa,original_sc,one_third,13,1,0.076923
qwen2_5_0_5b_instruct,csqa,original_sc,two_thirds,47,17,0.361702
qwen2_5_0_5b_instruct,csqa,original_sc,unanimous,40,25,0.625
qwen2_5_0_5b_instruct,gsm8k,normalized_filtered_vote,one_third,50,10,0.2
qwen2_5_0_5b_instruct,gsm8k,normalized_filtered_vote,two_thirds,33,21,0.636364
qwen2_5_0_5b_instruct,gsm8k,normalized_filtered_vote,unanimous,17,14,0.823529
qwen2_5_0_5b_instruct,gsm8k,original_sc,one_third,86,9,0.104651
qwen2_5_0_5b_instruct,gsm8k,original_sc,two_thirds,13,10,0.769231
qwen2_5_0_5b_instruct,gsm8k,original_sc,unanimous,1,1,1.0
qwen2_5_0_5b_instruct,mmlu,normalized_filtered_vote,empty,2,0,0.0
qwen2_5_0_5b_instruct,mmlu,normalized_filtered_vote,one_third,43,7,0.162791
qwen2_5_0_5b_instruct,mmlu,normalized_filtered_vote,two_thirds,43,22,0.511628
qwen2_5_0_5b_instruct,mmlu,normalized_filtered_vote,unanimous,12,6,0.5
qwen2_5_0_5b_instruct,mmlu,original_sc,one_third,49,7,0.142857
qwen2_5_0_5b_instruct,mmlu,original_sc,two_thirds,39,20,0.512821
qwen2_5_0_5b_instruct,mmlu,original_sc,unanimous,12,6,0.5
qwen2_5_1_5b_instruct,csqa,normalized_filtered_vote,one_third,2,0,0.0
qwen2_5_1_5b_instruct,csqa,normalized_filtered_vote,two_thirds,14,8,0.571429
qwen2_5_1_5b_instruct,csqa,normalized_filtered_vote,unanimous,84,59,0.702381
qwen2_5_1_5b_instruct,csqa,original_sc,one_third,2,0,0.0
qwen2_5_1_5b_instruct,csqa,original_sc,two_thirds,14,8,0.571429
qwen2_5_1_5b_instruct,csqa,original_sc,unanimous,84,59,0.702381
qwen2_5_1_5b_instruct,gsm8k,normalized_filtered_vote,one_third,24,6,0.25
qwen2_5_1_5b_instruct,gsm8k,normalized_filtered_vote,two_thirds,37,27,0.72973
qwen2_5_1_5b_instruct,gsm8k,normalized_filtered_vote,unanimous,39,36,0.923077
qwen2_5_1_5b_instruct,gsm8k,original_sc,one_third,27,6,0.222222
qwen2_5_1_5b_instruct,gsm8k,original_sc,two_thirds,38,29,0.763158
qwen2_5_1_5b_instruct,gsm8k,original_sc,unanimous,35,32,0.914286
qwen2_5_1_5b_instruct,mmlu,normalized_filtered_vote,empty,1,0,0.0
qwen2_5_1_5b_instruct,mmlu,normalized_filtered_vote,one_third,13,4,0.307692
qwen2_5_1_5b_instruct,mmlu,normalized_filtered_vote,two_thirds,35,11,0.314286
qwen2_5_1_5b_instruct,mmlu,normalized_filtered_vote,unanimous,51,35,0.686275
qwen2_5_1_5b_instruct,mmlu,original_sc,one_third,14,4,0.285714
qwen2_5_1_5b_instruct,mmlu,original_sc,two_thirds,35,11,0.314286
qwen2_5_1_5b_instruct,mmlu,original_sc,unanimous,51,35,0.686275
tinyllama_1_1b_chat,csqa,normalized_filtered_vote,one_third,30,11,0.366667
tinyllama_1_1b_chat,csqa,normalized_filtered_vote,two_thirds,49,10,0.204082
tinyllama_1_1b_chat,csqa,normalized_filtered_vote,unanimous,21,8,0.380952
tinyllama_1_1b_chat,csqa,original_sc,one_third,31,9,0.290323
tinyllama_1_1b_chat,csqa,original_sc,two_thirds,53,11,0.207547
tinyllama_1_1b_chat,csqa,original_sc,unanimous,16,7,0.4375
tinyllama_1_1b_chat,gsm8k,normalized_filtered_vote,one_third,85,4,0.047059
tinyllama_1_1b_chat,gsm8k,normalized_filtered_vote,two_thirds,14,1,0.071429
tinyllama_1_1b_chat,gsm8k,normalized_filtered_vote,unanimous,1,0,0.0
tinyllama_1_1b_chat,gsm8k,original_sc,one_third,94,1,0.010638
tinyllama_1_1b_chat,gsm8k,original_sc,two_thirds,5,0,0.0
tinyllama_1_1b_chat,gsm8k,original_sc,unanimous,1,0,0.0
tinyllama_1_1b_chat,mmlu,normalized_filtered_vote,empty,3,0,0.0
tinyllama_1_1b_chat,mmlu,normalized_filtered_vote,one_third,65,15,0.230769
tinyllama_1_1b_chat,mmlu,normalized_filtered_vote,two_thirds,28,7,0.25
tinyllama_1_1b_chat,mmlu,normalized_filtered_vote,unanimous,4,1,0.25
tinyllama_1_1b_chat,mmlu,original_sc,one_third,81,5,0.061728
tinyllama_1_1b_chat,mmlu,original_sc,two_thirds,16,3,0.1875
tinyllama_1_1b_chat,mmlu,original_sc,unanimous,3,1,0.333333
